Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mühlbacher, Thomas; Linhardt, Lorenz; Möller, Torsten; Piringer, Harald; ",TreePOD: Sensitivity-aware selection of pareto-optimal decision trees,IEEE Transactions on Visualization and Computer Graphics,24,1,174-183,2017,IEEE,"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&citation_for_view=579iMjgAAAAJ:u5HHmVD_uO8C"
"Schwab, Patrick; Linhardt, Lorenz; Karlen, Walter; ",Perfect match: A simple method for learning representations for counterfactual inference with neural networks,arXiv preprint arXiv:1810.00656,,,,2018,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:d1gkVwhDpl0C
"Schwab, Patrick; Linhardt, Lorenz; Bauer, Stefan; Buhmann, Joachim M; Karlen, Walter; ",Learning counterfactual representations for estimating individual dose-response curves,AAAI Conference on Artificial Intelligence,,,,2020,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:d1gkVwhDpl0C
"Großschedl, Josefa Elisabeth; Alves, João; Teixeira, Paula S; Bouy, Hervé; Forbrich, Jan; Lada, Charles J; Meingast, Stefan; Hacar, Álvaro; Ascenso, Joana; Ackerl, Christine; ",VISION–Vienna survey in Orion-III. Young stellar objects in Orion A,Astronomy & Astrophysics,622,,A149,2019,EDP Sciences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:9yKSN-GCB0IC
"Muttenthaler, Lukas; Linhardt, Lorenz; Dippel, Jonas; Vandermeulen, Robert A; Hermann, Katherine; Lampinen, Andrew; Kornblith, Simon; ",Improving neural network representations using human similarity judgments,Advances in Neural Information Processing Systems,36,,50978-51007,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:zYLM7Y9cAGgC
"Chow, Theo; Kan, Zeliang; Linhardt, Lorenz; Cavallaro, Lorenzo; Arp, Daniel; Pierazzi, Fabio; ",Drift forensics of malware classifiers,Proceedings of the 16th ACM Workshop on Artificial Intelligence and Security,,,197-207,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:Y0pCki6q_DkC
"Linhardt, Lorenz; Müller, Klaus-Robert; Montavon, Grégoire; ",Preemptively pruning Clever-Hans strategies in deep neural networks,Information Fusion,103,,102094,2024,Elsevier,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:eQOLeE2rZwMC
"Muttenthaler, Lukas; Dippel, Jonas; Linhardt, Lorenz; Vandermeulen, Robert A; Kornblith, Simon; ",Human alignment of neural network representations,International Conference on Learning Representations (ICLR),11,,,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:eQOLeE2rZwMC
"Engel, Christoph; Linhardt, Lorenz; Schubert, Marcel; ",Code is law: how COMPAS affects the way the judiciary handles the risk of recidivism,Artificial Intelligence and Law,,,1-22,2024,Springer Netherlands Dordrecht,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:WF5omc3nYNoC
"Linhardt, Lorenz; Morik, Marco; Bender, Sidney; Borras, Naima Elosegui; ",An Analysis of Human Alignment of Latent Diffusion Models,ICLR Workshop on Representational Alignment,,,,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:_FxGoFyzp5QC
"Ciernik, Laure; Linhardt, Lorenz; Morik, Marco; Dippel, Jonas; Kornblith, Simon; Muttenthaler, Lukas; ",Training objective drives the consistency of representational similarity across datasets,arXiv preprint arXiv:2411.05561,,,,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:Se3iqnhoufwC
"Dorszewski, Teresa; Tětková, Lenka; Linhardt, Lorenz; Hansen, Lars Kai; ",Connecting Concept Convexity and Human-Machine Alignment in Deep Neural Networks,Proceedings of the 6th Northern Lights Deep Learning Conference (NLDL),265,,41-50,2025,PMLR,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:0EnyYjriUFMC
"Linhardt, Lorenz; Neuhäuser, Tom; Tětková, Lenka; Eberle, Oliver; ","Cat, Rat, Meow: On the Alignment of Language Model and Human Term-Similarity Judgments",Second ICLR Workshop on Representational Alignment,,,,2025,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:5nxA0vEk-isC
"Loos, Jonas; Linhardt, Lorenz; ",Latent Diffusion U-Net Representations Contain Positional Embeddings and Anomalies,"ICLR Workshop on Deep Generative Model in Machine Learning: Theory, Principle and Efficacy",,,,2025,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=579iMjgAAAAJ&sortby=pubdate&citation_for_view=579iMjgAAAAJ:8k81kl-MbHgC
